case_id,group,condition,physical_success,input_audit_success,paired_initial_carry_rgb_equal,decisions,robot_commands,recoveries,carry_sim_s,total_sim_s,run_wall_s,inference_wall_s,execution_wall_s,hold_permission_sim_s,settle_sim_s,align_sim_s,rejoin_sim_s,final_displacement_cm,lateral_drift_cm,max_sample_gap_s,weld_active_ticks,failure_reason,external_model_calls,external_api_cost_usd
departure-r1-100,departure,sync,True,True,True,29,58,1,5.949999999996702,27.759999999995493,11.208955541995238,3.667523416050244,1.1795656680478714,0.7999999999995566,0.3999999999997783,1.5999999999991132,0.3999999999997783,21.4924,0.19880000000001008,0.15,0,,0,0
midcarry-r1-035,midcarry,baseline,True,True,,16,32,0,3.3499999999981434,25.159999999996934,8.991366665999522,1.9665862909605494,0.6688770860055229,0,0,0,0,20.376700000000003,1.0688000000000253,0.15,0,,0,0
midcarry-r1-035,midcarry,sync,True,True,True,32,64,1,6.54999999999637,28.35999999999516,11.799697958005709,4.046554789034417,1.3311064999579685,0.7999999999995566,0.3999999999997783,2.1999999999987807,0.3999999999997783,20.4006,0.24339999999998252,0.15,0,,0,0
midcarry-r1-075,midcarry,baseline,True,True,,18,36,0,3.7499999999979217,25.559999999996712,9.276590374996886,2.218503876007162,0.7562203720153775,0,0,0,0,20.417299999999994,1.6107000000000093,0.15,0,,0,0
midcarry-r1-075,midcarry,sync,True,True,True,33,66,1,6.749999999996259,28.55999999999505,11.87634883300052,4.192511581029976,1.3762689169525402,0.7999999999995566,0.3999999999997783,2.1999999999987807,0.3999999999997783,21.003399999999996,0.337400000000021,0.15,0,,0,0
report-r1-000,report,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.675347458993201,1.7680659580219071,0.5814892080088612,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
report-r1-000,report,sync,True,True,True,20,40,0,4.1499999999977,25.95999999999649,9.579311124995002,2.5105153730110032,0.813627126000938,1.199999999999335,0,0,0,20.883399999999995,0.017500000000003624,0.15,0,,0,0
report-r1-120,report,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.590239291996113,1.7144202479539672,0.5768536249961471,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
report-r1-120,report,sync,True,True,True,22,44,0,4.549999999997478,26.35999999999627,9.950831958005438,2.7258440410078038,0.919049082978745,0.9999999999994458,0,0,0,20.839399999999998,0.017700000000009375,0.15,0,,0,0
departure-r3-020,departure,baseline,True,True,,15,30,0,3.149999999998254,24.959999999997045,8.765018959005829,1.828178958996432,0.6165947080153273,0,0,0,0,21.976300000000005,0.4157999999999884,0.15,0,,0,0
departure-r3-020,departure,sync,True,True,True,23,46,1,4.749999999997367,26.55999999999616,10.143619708003826,2.866276209038915,0.9607446640002308,0.7999999999995566,0.3999999999997783,0.3999999999997783,0.3999999999997783,20.793799999999997,0.3114999999999979,0.15,0,,0,0
departure-r3-040,departure,baseline,True,True,,15,30,0,3.149999999998254,24.959999999997045,8.858274375001201,1.851921750960173,0.6198218329664087,0,0,0,0,20.750099999999993,0.770000000000004,0.15,0,,0,0
departure-r3-040,departure,sync,True,True,True,30,60,1,6.1499999999965915,27.959999999995382,11.337036500000977,3.7672275439981604,1.2369927909603575,1.199999999999335,0.3999999999997783,1.399999999999224,0.7999999999995566,21.8152,0.11069999999999691,0.15,0,,0,0
departure-r3-060,departure,baseline,False,True,,16,32,0,3.3499999999981434,19.909999999999844,7.721362040989334,1.961485706982785,0.6697914599935757,0,0,0,0,,,0.15,0,policy stopped: invalid RGB,0,0
departure-r3-060,departure,sync,True,True,True,29,58,1,5.949999999996702,27.759999999995493,11.205454374998226,3.713234877010109,1.1978729569818825,0.7999999999995566,0.3999999999997783,1.5999999999991132,0.3999999999997783,21.744600000000002,0.08079999999999199,0.15,0,,0,0
departure-r3-100,departure,baseline,False,True,,13,26,0,2.6499999999985313,19.210000000000232,7.1159747910132864,1.571114749982371,0.5138510820252122,0,0,0,0,,,0.15,0,policy stopped: invalid RGB,0,0
departure-r3-100,departure,sync,True,True,True,34,68,2,6.949999999996148,28.75999999999494,12.007476709011826,4.279851499013603,1.4053153719578404,1.5999999999991132,0.7999999999995566,1.399999999999224,0.7999999999995566,20.147000000000006,0.4238999999999882,0.15,0,,0,0
midcarry-r3-035,midcarry,baseline,False,True,,14,28,0,2.8499999999984205,19.41000000000012,7.372020250011701,1.718403832972399,0.5641770399815869,0,0,0,0,,,0.15,0,policy stopped: invalid RGB,0,0
midcarry-r3-035,midcarry,sync,True,True,True,32,64,1,6.54999999999637,28.35999999999516,11.627957541990327,3.9972774149646284,1.3276719190762378,0.7999999999995566,0.3999999999997783,2.1999999999987807,0.3999999999997783,20.4291,0.21050000000000235,0.15,0,,0,0
midcarry-r3-075,midcarry,baseline,False,True,,16,32,0,3.2499999999981988,19.8099999999999,7.686505249992479,1.9582877489883685,0.6495264150144067,0,0,0,0,,,0.15,0,policy stopped: invalid RGB,0,0
midcarry-r3-075,midcarry,sync,True,True,True,33,66,1,6.749999999996259,28.55999999999505,11.892056917000446,4.168524876018637,1.3839334979857085,0.7999999999995566,0.3999999999997783,2.1999999999987807,0.3999999999997783,21.002699999999997,0.3047000000000022,0.15,0,,0,0
report-r3-000,report,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.53954800000065,1.7014712940144818,0.5715235400421079,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
report-r3-000,report,sync,True,True,True,20,40,0,4.1499999999977,25.95999999999649,9.577683124996838,2.4732509610330453,0.8193208730372135,1.199999999999335,0,0,0,20.883399999999995,0.017500000000003624,0.15,0,,0,0
report-r3-120,report,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.574438625000766,1.7117392490035854,0.5749768759997096,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
report-r3-120,report,sync,True,True,True,22,44,0,4.549999999997478,26.35999999999627,9.993423959007487,2.7525324189919047,0.9237048750219401,0.9999999999994458,0,0,0,20.839399999999998,0.017700000000009375,0.15,0,,0,0
