cohort,case_id,condition,success,approach_ok,audit_ok,approach_payload_contact_steps,approach_elapsed_sim_s,total_elapsed_sim_s,wall_elapsed_s,approach_calls,grasp_calls,external_api_calls,external_api_cost_usd,error,raw_dir
heldout,heldout-11,visual,True,True,True,0,33.94999999999663,49.61,58.146436041919515,324,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-11-visual
heldout,heldout-11,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,0.8817880840506405,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-11-straight
heldout,heldout-13,visual,True,True,True,0,36.549999999999805,52.21,75.0276593749877,350,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-13-visual
heldout,heldout-13,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,2.096053458051756,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-13-straight
heldout,heldout-15,visual,True,True,True,0,34.54999999999736,50.21,61.22967016603798,330,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-15-visual
heldout,heldout-15,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.4126128749921918,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-15-straight
heldout,heldout-17,visual,True,True,True,0,31.749999999993936,47.410000000000004,74.58677291614003,302,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-17-visual
heldout,heldout-17,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.091072167037055,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-17-straight
heldout,heldout-19,visual,False,False,True,0,36.19999999999938,36.2,44.866709207883105,352,0,0,0,stationary RGB confirmation budget exhausted,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-19-visual
heldout,heldout-19,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,0.7687546671368182,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-19-straight
heldout,heldout-21,visual,True,True,True,0,35.149999999998094,50.81,52.32353050005622,336,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-21-visual
heldout,heldout-21,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.0092768750619143,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-21-straight
heldout,heldout-23,visual,True,True,True,0,36.950000000000294,52.61,52.917967499932274,354,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-23-visual
heldout,heldout-23,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.0360498749651015,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-23-straight
heldout,heldout-25,visual,True,True,True,0,35.34999999999834,51.01,64.10688208299689,338,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-25-visual
heldout,heldout-25,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.1551306250039488,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-25-straight
heldout,heldout-27,visual,True,True,True,0,34.14999999999687,49.81,46.50748708401807,326,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-27-visual
heldout,heldout-27,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.103959749918431,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-27-straight
heldout,heldout-29,visual,True,True,True,0,32.54999999999492,48.21,46.94941512495279,310,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-29-visual
heldout,heldout-29,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,0.8799413749948144,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-29-straight
heldout,heldout-02,visual,True,True,True,0,31.54999999999369,47.21,45.12394762481563,300,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-02-visual
heldout,heldout-02,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.28989466605708,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-02-straight
heldout,heldout-04,visual,True,True,True,0,34.54999999999736,50.21,54.83205366693437,330,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-04-visual
heldout,heldout-04,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.1796054160222411,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-04-straight
heldout,heldout-06,visual,True,True,True,0,27.34999999999522,43.01,48.984070416074246,258,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-06-visual
heldout,heldout-06,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.4525002089794725,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-06-straight
heldout,heldout-08,visual,True,True,True,0,33.349999999995894,49.01,60.874558166833594,318,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-08-visual
heldout,heldout-08,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.1624795419629663,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-08-straight
heldout,heldout-10,visual,True,True,True,0,36.14999999999932,51.81,60.59611487481743,346,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-10-visual
heldout,heldout-10,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.2465864999685436,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-10-straight
heldout,heldout-12,visual,True,True,True,0,35.54999999999858,51.21,58.923743958817795,340,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-12-visual
heldout,heldout-12,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.1476590000092983,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-12-straight
heldout,heldout-14,visual,True,True,True,0,34.34999999999712,50.01,72.3162671669852,328,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-14-visual
heldout,heldout-14,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.5590101249981672,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-1/heldout-14-straight
